PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24,Hole25,Hole26,Hole27,Hole28,Hole29
Patchwah,Coyote Point at Lake Casitas,Main,2022-06-15 20:34,65,11,4,4,3,3,4,4,5,3,3,4,5,3,3,3,4,4,3,3,,,,,,,,,,,
Cjtheguardian,Coyote Point at Lake Casitas,Main,2022-06-15 20:34,62,8,3,3,4,4,5,4,4,3,4,3,3,3,3,3,4,3,3,3,,,,,,,,,,,
Par,Coyote Point at Lake Casitas,Main,2022-06-12 17:40,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Cjtheguardian,Coyote Point at Lake Casitas,Main,2022-06-12 17:40,69,15,3,4,4,3,4,4,5,3,3,3,3,4,6,4,4,5,4,3,,,,,,,,,,,
Par,Coyote Point at Lake Casitas,Main,2022-06-08 21:39,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Cjtheguardian,Coyote Point at Lake Casitas,Main,2022-06-08 21:39,66,12,3,3,3,3,3,3,5,3,3,3,8,3,4,4,3,4,4,4,,,,,,,,,,,
Par,Coyote Point at Lake Casitas,Main,2022-06-05 15:45,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Cjtheguardian,Coyote Point at Lake Casitas,Main,2022-06-05 15:45,65,11,3,4,5,3,3,3,6,4,4,3,2,5,4,3,4,3,2,4,,,,,,,,,,,
Par,Coyote Point at Lake Casitas,Main,2022-06-03 21:10,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Cjtheguardian,Coyote Point at Lake Casitas,Main,2022-06-03 21:10,66,12,3,3,4,3,4,4,5,3,3,3,5,2,3,4,5,4,5,3,,,,,,,,,,,
Par,Coyote Point at Lake Casitas,Main,2022-06-01 20:11,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Cjtheguardian,Coyote Point at Lake Casitas,Main,2022-06-01 20:11,58,4,2,3,3,3,4,3,4,2,3,3,5,3,4,3,4,3,3,3,,,,,,,,,,,
Par,Matilija Middle School,Main,2022-05-30 18:11,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
Patchwah,Matilija Middle School,Main,2022-05-30 18:11,36,9,2,4,5,4,4,4,3,4,6,,,,,,,,,,,,,,,,,,,,
Cjtheguardian,Matilija Middle School,Main,2022-05-30 18:11,30,3,5,4,2,3,3,4,3,3,3,,,,,,,,,,,,,,,,,,,,
Par,Matilija Middle School,Main,2022-05-30 17:38,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
Patchwah,Matilija Middle School,Main,2022-05-30 17:38,23,-4,2,2,3,2,3,3,3,2,3,,,,,,,,,,,,,,,,,,,,
Cjtheguardian,Matilija Middle School,Main,2022-05-30 17:38,27,0,5,4,2,2,3,3,3,2,3,,,,,,,,,,,,,,,,,,,,
Par,Matilija Middle School,Main,2022-05-30 16:59,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
Patchwah,Matilija Middle School,Main,2022-05-30 16:59,28,1,3,2,2,4,3,3,3,4,4,,,,,,,,,,,,,,,,,,,,
Cjtheguardian,Matilija Middle School,Main,2022-05-30 16:59,25,-2,3,2,3,2,3,3,3,2,4,,,,,,,,,,,,,,,,,,,,
Par,Coyote Point at Lake Casitas,Main,2022-05-29 19:18,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Patchwah,Coyote Point at Lake Casitas,Main,2022-05-29 19:18,65,11,3,3,3,3,3,4,3,4,3,3,6,4,4,3,6,4,3,3,,,,,,,,,,,
Cjtheguardian,Coyote Point at Lake Casitas,Main,2022-05-29 19:18,59,5,3,3,3,3,3,3,3,2,3,3,4,4,3,4,4,4,4,3,,,,,,,,,,,
Par,Coyote Point at Lake Casitas,Main,2022-05-26 20:40,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Cjtheguardian,Coyote Point at Lake Casitas,Main,2022-05-26 20:40,64,10,3,4,3,5,4,2,4,3,5,2,3,3,3,5,3,4,4,4,,,,,,,,,,,
Patchwah,Coyote Point at Lake Casitas,Main,2022-05-26 20:40,63,9,3,4,2,4,3,3,5,4,3,3,4,3,4,4,4,3,4,3,,,,,,,,,,,
Par,Coyote Point at Lake Casitas,Main,2022-05-24 20:32,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Patchwah,Coyote Point at Lake Casitas,Main,2022-05-24 20:32,60,6,4,3,3,3,5,3,3,3,3,2,4,4,3,4,4,3,3,3,,,,,,,,,,,
Cjtheguardian,Coyote Point at Lake Casitas,Main,2022-05-24 20:32,59,5,3,4,3,3,3,2,4,3,3,3,4,3,4,4,3,3,4,3,,,,,,,,,,,
Par,Sapwi Disc Golf Course,Main Layout,2022-05-21 15:14,60,,3,4,3,3,3,3,3,3,3,3,4,3,5,3,4,3,3,4,,,,,,,,,,,
Patchwah,Sapwi Disc Golf Course,Main Layout,2022-05-21 15:14,76,16,3,6,2,3,4,4,2,4,5,6,4,4,5,3,4,5,6,6,,,,,,,,,,,
Cjtheguardian,Sapwi Disc Golf Course,Main Layout,2022-05-21 15:14,73,13,3,7,2,3,4,3,3,4,4,4,5,2,6,3,6,5,4,5,,,,,,,,,,,
